Codepoint,Property,Description
0B72-0B77,DISALLOWED,ORIYA FRACTION ONE QUARTER..ORIYA FRACTION THREE SIXTEENTHS
0B78-0B81,UNASSIGNED,<RESERVED>..<RESERVED>
0B82-0B83,PVALID,TAMIL SIGN ANUSVARA..TAMIL SIGN VISARGA
0B84,UNASSIGNED,<RESERVED>
0B85-0B8A,PVALID,TAMIL LETTER A..TAMIL LETTER UU
0B8B-0B8D,UNASSIGNED,<RESERVED>..<RESERVED>
0B8E-0B90,PVALID,TAMIL LETTER E..TAMIL LETTER AI
0B91,UNASSIGNED,<RESERVED>
0B92-0B95,PVALID,TAMIL LETTER O..TAMIL LETTER KA
0B96-0B98,UNASSIGNED,<RESERVED>..<RESERVED>
0B99-0B9A,PVALID,TAMIL LETTER NGA..TAMIL LETTER CA
0B9B,UNASSIGNED,<RESERVED>
0B9C,PVALID,TAMIL LETTER JA
0B9D,UNASSIGNED,<RESERVED>
0B9E-0B9F,PVALID,TAMIL LETTER NYA..TAMIL LETTER TTA
0BA0-0BA2,UNASSIGNED,<RESERVED>..<RESERVED>
0BA3-0BA4,PVALID,TAMIL LETTER NNA..TAMIL LETTER TA
0BA5-0BA7,UNASSIGNED,<RESERVED>..<RESERVED>
0BA8-0BAA,PVALID,TAMIL LETTER NA..TAMIL LETTER PA
0BAB-0BAD,UNASSIGNED,<RESERVED>..<RESERVED>
0BAE-0BB9,PVALID,TAMIL LETTER MA..TAMIL LETTER HA
0BBA-0BBD,UNASSIGNED,<RESERVED>..<RESERVED>
0BBE-0BC2,PVALID,TAMIL VOWEL SIGN AA..TAMIL VOWEL SIGN UU
0BC3-0BC5,UNASSIGNED,<RESERVED>..<RESERVED>
0BC6-0BC8,PVALID,TAMIL VOWEL SIGN E..TAMIL VOWEL SIGN AI
0BC9,UNASSIGNED,<RESERVED>
0BCA-0BCD,PVALID,TAMIL VOWEL SIGN O..TAMIL SIGN VIRAMA
0BCE-0BCF,UNASSIGNED,<RESERVED>..<RESERVED>
0BD0,PVALID,TAMIL OM
0BD1-0BD6,UNASSIGNED,<RESERVED>..<RESERVED>
0BD7,PVALID,TAMIL AU LENGTH MARK
0BD8-0BE5,UNASSIGNED,<RESERVED>..<RESERVED>
0BE6-0BEF,PVALID,TAMIL DIGIT ZERO..TAMIL DIGIT NINE
0BF0-0BFA,DISALLOWED,TAMIL NUMBER TEN..TAMIL NUMBER SIGN
0BFB-0C00,UNASSIGNED,<RESERVED>..<RESERVED>
0C01-0C03,PVALID,TELUGU SIGN CANDRABINDU..TELUGU SIGN VISARGA
0C04,UNASSIGNED,<RESERVED>
0C05-0C0C,PVALID,TELUGU LETTER A..TELUGU LETTER VOCALIC L
0C0D,UNASSIGNED,<RESERVED>
0C0E-0C10,PVALID,TELUGU LETTER E..TELUGU LETTER AI
0C11,UNASSIGNED,<RESERVED>
0C12-0C28,PVALID,TELUGU LETTER O..TELUGU LETTER NA
0C29,UNASSIGNED,<RESERVED>
0C2A-0C33,PVALID,TELUGU LETTER PA..TELUGU LETTER LLA
0C34,UNASSIGNED,<RESERVED>
0C35-0C39,PVALID,TELUGU LETTER VA..TELUGU LETTER HA
0C3A-0C3C,UNASSIGNED,<RESERVED>..<RESERVED>
0C3D-0C44,PVALID,TELUGU SIGN AVAGRAHA..TELUGU VOWEL SIGN VOCALIC RR
0C45,UNASSIGNED,<RESERVED>
0C46-0C48,PVALID,TELUGU VOWEL SIGN E..TELUGU VOWEL SIGN AI
0C49,UNASSIGNED,<RESERVED>
0C4A-0C4D,PVALID,TELUGU VOWEL SIGN O..TELUGU SIGN VIRAMA
0C4E-0C54,UNASSIGNED,<RESERVED>..<RESERVED>
0C55-0C56,PVALID,TELUGU LENGTH MARK..TELUGU AI LENGTH MARK
0C57,UNASSIGNED,<RESERVED>
0C58-0C59,PVALID,TELUGU LETTER TSA..TELUGU LETTER DZA
0C5A-0C5F,UNASSIGNED,<RESERVED>..<RESERVED>
0C60-0C63,PVALID,TELUGU LETTER VOCALIC RR..TELUGU VOWEL SIGN VOCALIC LL
0C64-0C65,UNASSIGNED,<RESERVED>..<RESERVED>
0C66-0C6F,PVALID,TELUGU DIGIT ZERO..TELUGU DIGIT NINE
0C70-0C77,UNASSIGNED,<RESERVED>..<RESERVED>
0C78-0C7F,DISALLOWED,TELUGU FRACTION DIGIT ZERO FOR ODD POWERS OF FOUR..TELUGU SIGN TUUMU
0C80-0C81,UNASSIGNED,<RESERVED>..<RESERVED>
0C82-0C83,PVALID,KANNADA SIGN ANUSVARA..KANNADA SIGN VISARGA
0C84,UNASSIGNED,<RESERVED>
0C85-0C8C,PVALID,KANNADA LETTER A..KANNADA LETTER VOCALIC L
0C8D,UNASSIGNED,<RESERVED>
0C8E-0C90,PVALID,KANNADA LETTER E..KANNADA LETTER AI
0C91,UNASSIGNED,<RESERVED>
0C92-0CA8,PVALID,KANNADA LETTER O..KANNADA LETTER NA
0CA9,UNASSIGNED,<RESERVED>
0CAA-0CB3,PVALID,KANNADA LETTER PA..KANNADA LETTER LLA
0CB4,UNASSIGNED,<RESERVED>
0CB5-0CB9,PVALID,KANNADA LETTER VA..KANNADA LETTER HA
0CBA-0CBB,UNASSIGNED,<RESERVED>..<RESERVED>
0CBC-0CC4,PVALID,KANNADA SIGN NUKTA..KANNADA VOWEL SIGN VOCALIC RR
0CC5,UNASSIGNED,<RESERVED>
0CC6-0CC8,PVALID,KANNADA VOWEL SIGN E..KANNADA VOWEL SIGN AI
0CC9,UNASSIGNED,<RESERVED>
0CCA-0CCD,PVALID,KANNADA VOWEL SIGN O..KANNADA SIGN VIRAMA
0CCE-0CD4,UNASSIGNED,<RESERVED>..<RESERVED>
0CD5-0CD6,PVALID,KANNADA LENGTH MARK..KANNADA AI LENGTH MARK
0CD7-0CDD,UNASSIGNED,<RESERVED>..<RESERVED>
0CDE,PVALID,KANNADA LETTER FA
0CDF,UNASSIGNED,<RESERVED>
0CE0-0CE3,PVALID,KANNADA LETTER VOCALIC RR..KANNADA VOWEL SIGN VOCALIC LL
0CE4-0CE5,UNASSIGNED,<RESERVED>..<RESERVED>
0CE6-0CEF,PVALID,KANNADA DIGIT ZERO..KANNADA DIGIT NINE
0CF0,UNASSIGNED,<RESERVED>
0CF1-0CF2,PVALID,KANNADA SIGN JIHVAMULIYA..KANNADA SIGN UPADHMANIYA
0CF3-0D01,UNASSIGNED,<RESERVED>..<RESERVED>
0D02-0D03,PVALID,MALAYALAM SIGN ANUSVARA..MALAYALAM SIGN VISARGA
0D04,UNASSIGNED,<RESERVED>
0D05-0D0C,PVALID,MALAYALAM LETTER A..MALAYALAM LETTER VOCALIC L
0D0D,UNASSIGNED,<RESERVED>
0D0E-0D10,PVALID,MALAYALAM LETTER E..MALAYALAM LETTER AI
0D11,UNASSIGNED,<RESERVED>
0D12-0D3A,PVALID,MALAYALAM LETTER O..MALAYALAM LETTER TTTA
0D3B-0D3C,UNASSIGNED,<RESERVED>..<RESERVED>
0D3D-0D44,PVALID,MALAYALAM SIGN AVAGRAHA..MALAYALAM VOWEL SIGN VOCALIC RR
0D45,UNASSIGNED,<RESERVED>
0D46-0D48,PVALID,MALAYALAM VOWEL SIGN E..MALAYALAM VOWEL SIGN AI
0D49,UNASSIGNED,<RESERVED>
0D4A-0D4E,PVALID,MALAYALAM VOWEL SIGN O..MALAYALAM LETTER DOT REPH
0D4F-0D56,UNASSIGNED,<RESERVED>..<RESERVED>
0D57,PVALID,MALAYALAM AU LENGTH MARK
0D58-0D5F,UNASSIGNED,<RESERVED>..<RESERVED>
0D60-0D63,PVALID,MALAYALAM LETTER VOCALIC RR..MALAYALAM VOWEL SIGN VOCALIC LL
0D64-0D65,UNASSIGNED,<RESERVED>..<RESERVED>
0D66-0D6F,PVALID,MALAYALAM DIGIT ZERO..MALAYALAM DIGIT NINE
0D70-0D75,DISALLOWED,MALAYALAM NUMBER TEN..MALAYALAM FRACTION THREE QUARTERS
0D76-0D78,UNASSIGNED,<RESERVED>..<RESERVED>
0D79,DISALLOWED,MALAYALAM DATE MARK
0D7A-0D7F,PVALID,MALAYALAM LETTER CHILLU NN..MALAYALAM LETTER CHILLU K
0D80-0D81,UNASSIGNED,<RESERVED>..<RESERVED>
0D82-0D83,PVALID,SINHALA SIGN ANUSVARAYA..SINHALA SIGN VISARGAYA
0D84,UNASSIGNED,<RESERVED>
0D85-0D96,PVALID,SINHALA LETTER AYANNA..SINHALA LETTER AUYANNA
0D97-0D99,UNASSIGNED,<RESERVED>..<RESERVED>
0D9A-0DB1,PVALID,SINHALA LETTER ALPAPRAANA KAYANNA..SINHALA LETTER DANTAJA NAYANNA
0DB2,UNASSIGNED,<RESERVED>
0DB3-0DBB,PVALID,SINHALA LETTER SANYAKA DAYANNA..SINHALA LETTER RAYANNA
0DBC,UNASSIGNED,<RESERVED>
0DBD,PVALID,SINHALA LETTER DANTAJA LAYANNA
0DBE-0DBF,UNASSIGNED,<RESERVED>..<RESERVED>
0DC0-0DC6,PVALID,SINHALA LETTER VAYANNA..SINHALA LETTER FAYANNA
0DC7-0DC9,UNASSIGNED,<RESERVED>..<RESERVED>
0DCA,PVALID,SINHALA SIGN AL-LAKUNA
0DCB-0DCE,UNASSIGNED,<RESERVED>..<RESERVED>
0DCF-0DD4,PVALID,SINHALA VOWEL SIGN AELA-PILLA..SINHALA VOWEL SIGN KETTI PAA-PILLA
0DD5,UNASSIGNED,<RESERVED>
0DD6,PVALID,SINHALA VOWEL SIGN DIGA PAA-PILLA
0DD7,UNASSIGNED,<RESERVED>
0DD8-0DDF,PVALID,SINHALA VOWEL SIGN GAETTA-PILLA..SINHALA VOWEL SIGN GAYANUKITTA
0DE0-0DF1,UNASSIGNED,<RESERVED>..<RESERVED>
0DF2-0DF3,PVALID,SINHALA VOWEL SIGN DIGA GAETTA-PILLA..SINHALA VOWEL SIGN DIGA GAYANUKITTA
0DF4,DISALLOWED,SINHALA PUNCTUATION KUNDDALIYA
0DF5-0E00,UNASSIGNED,<RESERVED>..<RESERVED>
0E01-0E32,PVALID,THAI CHARACTER KO KAI..THAI CHARACTER SARA AA
0E33,DISALLOWED,THAI CHARACTER SARA AM
0E34-0E3A,PVALID,THAI CHARACTER SARA I..THAI CHARACTER PHINTHU
0E3B-0E3E,UNASSIGNED,<RESERVED>..<RESERVED>
0E3F,DISALLOWED,THAI CURRENCY SYMBOL BAHT
0E40-0E4E,PVALID,THAI CHARACTER SARA E..THAI CHARACTER YAMAKKAN
0E4F,DISALLOWED,THAI CHARACTER FONGMAN
0E50-0E59,PVALID,THAI DIGIT ZERO..THAI DIGIT NINE
0E5A-0E5B,DISALLOWED,THAI CHARACTER ANGKHANKHU..THAI CHARACTER KHOMUT
0E5C-0E80,UNASSIGNED,<RESERVED>..<RESERVED>
0E81-0E82,PVALID,LAO LETTER KO..LAO LETTER KHO SUNG
0E83,UNASSIGNED,<RESERVED>
0E84,PVALID,LAO LETTER KHO TAM
0E85-0E86,UNASSIGNED,<RESERVED>..<RESERVED>
0E87-0E88,PVALID,LAO LETTER NGO..LAO LETTER CO
0E89,UNASSIGNED,<RESERVED>
0E8A,PVALID,LAO LETTER SO TAM
0E8B-0E8C,UNASSIGNED,<RESERVED>..<RESERVED>
0E8D,PVALID,LAO LETTER NYO
0E8E-0E93,UNASSIGNED,<RESERVED>..<RESERVED>
0E94-0E97,PVALID,LAO LETTER DO..LAO LETTER THO TAM
0E98,UNASSIGNED,<RESERVED>
0E99-0E9F,PVALID,LAO LETTER NO..LAO LETTER FO SUNG
0EA0,UNASSIGNED,<RESERVED>
0EA1-0EA3,PVALID,LAO LETTER MO..LAO LETTER LO LING
0EA4,UNASSIGNED,<RESERVED>
0EA5,PVALID,LAO LETTER LO LOOT
0EA6,UNASSIGNED,<RESERVED>
0EA7,PVALID,LAO LETTER WO
0EA8-0EA9,UNASSIGNED,<RESERVED>..<RESERVED>
0EAA-0EAB,PVALID,LAO LETTER SO SUNG..LAO LETTER HO SUNG
0EAC,UNASSIGNED,<RESERVED>
0EAD-0EB2,PVALID,LAO LETTER O..LAO VOWEL SIGN AA
0EB3,DISALLOWED,LAO VOWEL SIGN AM
0EB4-0EB9,PVALID,LAO VOWEL SIGN I..LAO VOWEL SIGN UU
0EBA,UNASSIGNED,<RESERVED>
0EBB-0EBD,PVALID,LAO VOWEL SIGN MAI KON..LAO SEMIVOWEL SIGN NYO
0EBE-0EBF,UNASSIGNED,<RESERVED>..<RESERVED>
0EC0-0EC4,PVALID,LAO VOWEL SIGN E..LAO VOWEL SIGN AI
0EC5,UNASSIGNED,<RESERVED>
0EC6,PVALID,LAO KO LA
0EC7,UNASSIGNED,<RESERVED>
0EC8-0ECD,PVALID,LAO TONE MAI EK..LAO NIGGAHITA
0ECE-0ECF,UNASSIGNED,<RESERVED>..<RESERVED>
0ED0-0ED9,PVALID,LAO DIGIT ZERO..LAO DIGIT NINE
0EDA-0EDB,UNASSIGNED,<RESERVED>..<RESERVED>
0EDC-0EDD,DISALLOWED,LAO HO NO..LAO HO MO
0EDE-0EDF,PVALID,LAO LETTER KHMU GO..LAO LETTER KHMU NYO
0EE0-0EFF,UNASSIGNED,<RESERVED>..<RESERVED>
0F00,PVALID,TIBETAN SYLLABLE OM
0F01-0F0A,DISALLOWED,TIBETAN MARK GTER YIG MGO TRUNCATED A..TIBETAN MARK BKA- SHOG YIG MGO
0F0B,PVALID,TIBETAN MARK INTERSYLLABIC TSHEG
0F0C-0F17,DISALLOWED,TIBETAN MARK DELIMITER TSHEG BSTAR..TIBETAN ASTROLOGICAL SIGN SGRA GCAN -CHAR RTAGS
0F18-0F19,PVALID,TIBETAN ASTROLOGICAL SIGN -KHYUD PA..TIBETAN ASTROLOGICAL SIGN SDONG TSHUGS
0F1A-0F1F,DISALLOWED,TIBETAN SIGN RDEL DKAR GCIG..TIBETAN SIGN RDEL DKAR RDEL NAG
0F20-0F29,PVALID,TIBETAN DIGIT ZERO..TIBETAN DIGIT NINE
0F2A-0F34,DISALLOWED,TIBETAN DIGIT HALF ONE..TIBETAN MARK BSDUS RTAGS
0F35,PVALID,TIBETAN MARK NGAS BZUNG NYI ZLA
0F36,DISALLOWED,TIBETAN MARK CARET -DZUD RTAGS BZHI MIG CAN
0F37,PVALID,TIBETAN MARK NGAS BZUNG SGOR RTAGS
0F38,DISALLOWED,TIBETAN MARK CHE MGO
0F39,PVALID,TIBETAN MARK TSA -PHRU
0F3A-0F3D,DISALLOWED,TIBETAN MARK GUG RTAGS GYON..TIBETAN MARK ANG KHANG GYAS
0F3E-0F42,PVALID,TIBETAN SIGN YAR TSHES..TIBETAN LETTER GA
0F43,DISALLOWED,TIBETAN LETTER GHA
0F44-0F47,PVALID,TIBETAN LETTER NGA..TIBETAN LETTER JA
0F48,UNASSIGNED,<RESERVED>
0F49-0F4C,PVALID,TIBETAN LETTER NYA..TIBETAN LETTER DDA
0F4D,DISALLOWED,TIBETAN LETTER DDHA
0F4E-0F51,PVALID,TIBETAN LETTER NNA..TIBETAN LETTER DA
0F52,DISALLOWED,TIBETAN LETTER DHA
0F53-0F56,PVALID,TIBETAN LETTER NA..TIBETAN LETTER BA
0F57,DISALLOWED,TIBETAN LETTER BHA
0F58-0F5B,PVALID,TIBETAN LETTER MA..TIBETAN LETTER DZA
0F5C,DISALLOWED,TIBETAN LETTER DZHA
0F5D-0F68,PVALID,TIBETAN LETTER WA..TIBETAN LETTER A
0F69,DISALLOWED,TIBETAN LETTER KSSA
0F6A-0F6C,PVALID,TIBETAN LETTER FIXED-FORM RA..TIBETAN LETTER RRA
0F6D-0F70,UNASSIGNED,<RESERVED>..<RESERVED>
0F71-0F72,PVALID,TIBETAN VOWEL SIGN AA..TIBETAN VOWEL SIGN I
0F73,DISALLOWED,TIBETAN VOWEL SIGN II
0F74,PVALID,TIBETAN VOWEL SIGN U
0F75-0F79,DISALLOWED,TIBETAN VOWEL SIGN UU..TIBETAN VOWEL SIGN VOCALIC LL
0F7A-0F80,PVALID,TIBETAN VOWEL SIGN E..TIBETAN VOWEL SIGN REVERSED I
0F81,DISALLOWED,TIBETAN VOWEL SIGN REVERSED II
0F82-0F84,PVALID,TIBETAN SIGN NYI ZLA NAA DA..TIBETAN MARK HALANTA
0F85,DISALLOWED,TIBETAN MARK PALUTA
0F86-0F92,PVALID,TIBETAN SIGN LCI RTAGS..TIBETAN SUBJOINED LETTER GA
0F93,DISALLOWED,TIBETAN SUBJOINED LETTER GHA
0F94-0F97,PVALID,TIBETAN SUBJOINED LETTER NGA..TIBETAN SUBJOINED LETTER JA
0F98,UNASSIGNED,<RESERVED>
0F99-0F9C,PVALID,TIBETAN SUBJOINED LETTER NYA..TIBETAN SUBJOINED LETTER DDA
0F9D,DISALLOWED,TIBETAN SUBJOINED LETTER DDHA
0F9E-0FA1,PVALID,TIBETAN SUBJOINED LETTER NNA..TIBETAN SUBJOINED LETTER DA
0FA2,DISALLOWED,TIBETAN SUBJOINED LETTER DHA
0FA3-0FA6,PVALID,TIBETAN SUBJOINED LETTER NA..TIBETAN SUBJOINED LETTER BA
0FA7,DISALLOWED,TIBETAN SUBJOINED LETTER BHA
0FA8-0FAB,PVALID,TIBETAN SUBJOINED LETTER MA..TIBETAN SUBJOINED LETTER DZA
0FAC,DISALLOWED,TIBETAN SUBJOINED LETTER DZHA
0FAD-0FB8,PVALID,TIBETAN SUBJOINED LETTER WA..TIBETAN SUBJOINED LETTER A
0FB9,DISALLOWED,TIBETAN SUBJOINED LETTER KSSA
0FBA-0FBC,PVALID,TIBETAN SUBJOINED LETTER FIXED-FORM WA..TIBETAN SUBJOINED LETTER FIXED-FORM RA
0FBD,UNASSIGNED,<RESERVED>
0FBE-0FC5,DISALLOWED,TIBETAN KU RU KHA..TIBETAN SYMBOL RDO RJE
0FC6,PVALID,TIBETAN SYMBOL PADMA GDAN
0FC7-0FCC,DISALLOWED,TIBETAN SYMBOL RDO RJE RGYA GRAM..TIBETAN SYMBOL NOR BU BZHI -KHYIL
0FCD,UNASSIGNED,<RESERVED>
0FCE-0FDA,DISALLOWED,TIBETAN SIGN RDEL NAG RDEL DKAR..TIBETAN MARK TRAILING MCHAN RTAGS
0FDB-0FFF,UNASSIGNED,<RESERVED>..<RESERVED>
1000-1049,PVALID,MYANMAR LETTER KA..MYANMAR DIGIT NINE
104A-104F,DISALLOWED,MYANMAR SIGN LITTLE SECTION..MYANMAR SYMBOL GENITIVE
1050-109D,PVALID,MYANMAR LETTER SHA..MYANMAR VOWEL SIGN AITON AI
109E-10C5,DISALLOWED,MYANMAR SYMBOL SHAN ONE..GEORGIAN CAPITAL LETTER HOE
10C6,UNASSIGNED,<RESERVED>
10C7,DISALLOWED,GEORGIAN CAPITAL LETTER YN
10C8-10CC,UNASSIGNED,<RESERVED>..<RESERVED>
10CD,DISALLOWED,GEORGIAN CAPITAL LETTER AEN
10CE-10CF,UNASSIGNED,<RESERVED>..<RESERVED>
10D0-10FA,PVALID,GEORGIAN LETTER AN..GEORGIAN LETTER AIN
10FB-10FC,DISALLOWED,GEORGIAN PARAGRAPH SEPARATOR..MODIFIER LETTER GEORGIAN NAR
10FD-10FF,PVALID,GEORGIAN LETTER AEN..GEORGIAN LETTER LABIAL SIGN
1100-11FF,DISALLOWED,HANGUL CHOSEONG KIYEOK..HANGUL JONGSEONG SSANGNIEUN
1200-1248,PVALID,ETHIOPIC SYLLABLE HA..ETHIOPIC SYLLABLE QWA
1249,UNASSIGNED,<RESERVED>
124A-124D,PVALID,ETHIOPIC SYLLABLE QWI..ETHIOPIC SYLLABLE QWE
124E-124F,UNASSIGNED,<RESERVED>..<RESERVED>
1250-1256,PVALID,ETHIOPIC SYLLABLE QHA..ETHIOPIC SYLLABLE QHO
1257,UNASSIGNED,<RESERVED>
1258,PVALID,ETHIOPIC SYLLABLE QHWA
1259,UNASSIGNED,<RESERVED>
125A-125D,PVALID,ETHIOPIC SYLLABLE QHWI..ETHIOPIC SYLLABLE QHWE
125E-125F,UNASSIGNED,<RESERVED>..<RESERVED>
1260-1288,PVALID,ETHIOPIC SYLLABLE BA..ETHIOPIC SYLLABLE XWA
1289,UNASSIGNED,<RESERVED>
128A-128D,PVALID,ETHIOPIC SYLLABLE XWI..ETHIOPIC SYLLABLE XWE
128E-128F,UNASSIGNED,<RESERVED>..<RESERVED>
1290-12B0,PVALID,ETHIOPIC SYLLABLE NA..ETHIOPIC SYLLABLE KWA
12B1,UNASSIGNED,<RESERVED>
12B2-12B5,PVALID,ETHIOPIC SYLLABLE KWI..ETHIOPIC SYLLABLE KWE
12B6-12B7,UNASSIGNED,<RESERVED>..<RESERVED>
12B8-12BE,PVALID,ETHIOPIC SYLLABLE KXA..ETHIOPIC SYLLABLE KXO
12BF,UNASSIGNED,<RESERVED>
12C0,PVALID,ETHIOPIC SYLLABLE KXWA
12C1,UNASSIGNED,<RESERVED>
12C2-12C5,PVALID,ETHIOPIC SYLLABLE KXWI..ETHIOPIC SYLLABLE KXWE
12C6-12C7,UNASSIGNED,<RESERVED>..<RESERVED>
12C8-12D6,PVALID,ETHIOPIC SYLLABLE WA..ETHIOPIC SYLLABLE PHARYNGEAL O
12D7,UNASSIGNED,<RESERVED>
12D8-1310,PVALID,ETHIOPIC SYLLABLE ZA..ETHIOPIC SYLLABLE GWA
1311,UNASSIGNED,<RESERVED>
1312-1315,PVALID,ETHIOPIC SYLLABLE GWI..ETHIOPIC SYLLABLE GWE
1316-1317,UNASSIGNED,<RESERVED>..<RESERVED>
1318-135A,PVALID,ETHIOPIC SYLLABLE GGA..ETHIOPIC SYLLABLE FYA
135B-135C,UNASSIGNED,<RESERVED>..<RESERVED>
135D-135F,PVALID,ETHIOPIC COMBINING GEMINATION AND VOWEL LENGTH MARK..ETHIOPIC COMBINING GEMINATION MARK
1360-137C,DISALLOWED,ETHIOPIC SECTION MARK..ETHIOPIC NUMBER TEN THOUSAND
137D-137F,UNASSIGNED,<RESERVED>..<RESERVED>
1380-138F,PVALID,ETHIOPIC SYLLABLE SEBATBEIT MWA..ETHIOPIC SYLLABLE PWE
1390-1399,DISALLOWED,ETHIOPIC TONAL MARK YIZET..ETHIOPIC TONAL MARK KURT
139A-139F,UNASSIGNED,<RESERVED>..<RESERVED>
13A0-13F4,PVALID,CHEROKEE LETTER A..CHEROKEE LETTER YV
13F5-13FF,UNASSIGNED,<RESERVED>..<RESERVED>
1400,DISALLOWED,CANADIAN SYLLABICS HYPHEN
1401-166C,PVALID,CANADIAN SYLLABICS E..CANADIAN SYLLABICS CARRIER TTSA
166D-166E,DISALLOWED,CANADIAN SYLLABICS CHI SIGN..CANADIAN SYLLABICS FULL STOP
166F-167F,PVALID,CANADIAN SYLLABICS QAI..CANADIAN SYLLABICS BLACKFOOT W
1680,DISALLOWED,OGHAM SPACE MARK
1681-169A,PVALID,OGHAM LETTER BEITH..OGHAM LETTER PEITH
169B-169C,DISALLOWED,OGHAM FEATHER MARK..OGHAM REVERSED FEATHER MARK
169D-169F,UNASSIGNED,<RESERVED>..<RESERVED>
16A0-16EA,PVALID,RUNIC LETTER FEHU FEOH FE F..RUNIC LETTER X
16EB-16F0,DISALLOWED,RUNIC SINGLE PUNCTUATION..RUNIC BELGTHOR SYMBOL
16F1-16FF,UNASSIGNED,<RESERVED>..<RESERVED>
1700-170C,PVALID,TAGALOG LETTER A..TAGALOG LETTER YA
170D,UNASSIGNED,<RESERVED>
170E-1714,PVALID,TAGALOG LETTER LA..TAGALOG SIGN VIRAMA
1715-171F,UNASSIGNED,<RESERVED>..<RESERVED>
1720-1734,PVALID,HANUNOO LETTER A..HANUNOO SIGN PAMUDPOD
1735-1736,DISALLOWED,PHILIPPINE SINGLE PUNCTUATION..PHILIPPINE DOUBLE PUNCTUATION
1737-173F,UNASSIGNED,<RESERVED>..<RESERVED>
1740-1753,PVALID,BUHID LETTER A..BUHID VOWEL SIGN U
1754-175F,UNASSIGNED,<RESERVED>..<RESERVED>
1760-176C,PVALID,TAGBANWA LETTER A..TAGBANWA LETTER YA
176D,UNASSIGNED,<RESERVED>
176E-1770,PVALID,TAGBANWA LETTER LA..TAGBANWA LETTER SA
1771,UNASSIGNED,<RESERVED>
1772-1773,PVALID,TAGBANWA VOWEL SIGN I..TAGBANWA VOWEL SIGN U
1774-177F,UNASSIGNED,<RESERVED>..<RESERVED>
1780-17B3,PVALID,KHMER LETTER KA..KHMER INDEPENDENT VOWEL QAU
17B4-17B5,DISALLOWED,KHMER VOWEL INHERENT AQ..KHMER VOWEL INHERENT AA
17B6-17D3,PVALID,KHMER VOWEL SIGN AA..KHMER SIGN BATHAMASAT
17D4-17D6,DISALLOWED,KHMER SIGN KHAN..KHMER SIGN CAMNUC PII KUUH
17D7,PVALID,KHMER SIGN LEK TOO
17D8-17DB,DISALLOWED,KHMER SIGN BEYYAL..KHMER CURRENCY SYMBOL RIEL
17DC-17DD,PVALID,KHMER SIGN AVAKRAHASANYA..KHMER SIGN ATTHACAN
17DE-17DF,UNASSIGNED,<RESERVED>..<RESERVED>
17E0-17E9,PVALID,KHMER DIGIT ZERO..KHMER DIGIT NINE
17EA-17EF,UNASSIGNED,<RESERVED>..<RESERVED>
17F0-17F9,DISALLOWED,KHMER SYMBOL LEK ATTAK SON..KHMER SYMBOL LEK ATTAK PRAM-BUON
17FA-17FF,UNASSIGNED,<RESERVED>..<RESERVED>
1800-180E,DISALLOWED,MONGOLIAN BIRGA..MONGOLIAN VOWEL SEPARATOR
180F,UNASSIGNED,<RESERVED>
1810-1819,PVALID,MONGOLIAN DIGIT ZERO..MONGOLIAN DIGIT NINE
181A-181F,UNASSIGNED,<RESERVED>..<RESERVED>
1820-1877,PVALID,MONGOLIAN LETTER A..MONGOLIAN LETTER MANCHU ZHA
1878-187F,UNASSIGNED,<RESERVED>..<RESERVED>
1880-18AA,PVALID,MONGOLIAN LETTER ALI GALI ANUSVARA ONE..MONGOLIAN LETTER MANCHU ALI GALI LHA
18AB-18AF,UNASSIGNED,<RESERVED>..<RESERVED>
18B0-18F5,PVALID,CANADIAN SYLLABICS OY..CANADIAN SYLLABICS CARRIER DENTAL S
18F6-18FF,UNASSIGNED,<RESERVED>..<RESERVED>
1900-191C,PVALID,LIMBU VOWEL-CARRIER LETTER..LIMBU LETTER HA
191D-191F,UNASSIGNED,<RESERVED>..<RESERVED>
1920-192B,PVALID,LIMBU VOWEL SIGN A..LIMBU SUBJOINED LETTER WA
192C-192F,UNASSIGNED,<RESERVED>..<RESERVED>
1930-193B,PVALID,LIMBU SMALL LETTER KA..LIMBU SIGN SA-I
193C-193F,UNASSIGNED,<RESERVED>..<RESERVED>
1940,DISALLOWED,LIMBU SIGN LOO
1941-1943,UNASSIGNED,<RESERVED>..<RESERVED>
1944-1945,DISALLOWED,LIMBU EXCLAMATION MARK..LIMBU QUESTION MARK
1946-196D,PVALID,LIMBU DIGIT ZERO..TAI LE LETTER AI
196E-196F,UNASSIGNED,<RESERVED>..<RESERVED>
1970-1974,PVALID,TAI LE LETTER TONE-2..TAI LE LETTER TONE-6
1975-197F,UNASSIGNED,<RESERVED>..<RESERVED>
1980-19AB,PVALID,NEW TAI LUE LETTER HIGH QA..NEW TAI LUE LETTER LOW SUA
19AC-19AF,UNASSIGNED,<RESERVED>..<RESERVED>
19B0-19C9,PVALID,NEW TAI LUE VOWEL SIGN VOWEL SHORTENER..NEW TAI LUE TONE MARK-2
19CA-19CF,UNASSIGNED,<RESERVED>..<RESERVED>
19D0-19D9,PVALID,NEW TAI LUE DIGIT ZERO..NEW TAI LUE DIGIT NINE
19DA,DISALLOWED,NEW TAI LUE THAM DIGIT ONE
19DB-19DD,UNASSIGNED,<RESERVED>..<RESERVED>
19DE-19FF,DISALLOWED,NEW TAI LUE SIGN LAE..KHMER SYMBOL DAP-PRAM ROC
